noise,ber_uncoded,ber_coded
0.01,0.0106201171875,0.0059814453125
0.03,0.03369140625,0.2137451171875
0.05,0.0489501953125,0.3076171875
0.08,0.0789794921875,0.2830810546875
0.1,0.1038818359375,0.291748046875
0.15,0.1478271484375,0.3316650390625
